PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,RESPONSE_VALUE,Z_PRIME
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Percent inhibition of efflux pump,Z prime screening statistics parameter
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,6.6,
48,17412701,5337303,C1CCN(CC1)C2=CC=C(O2)/C=C(/C#N)\C(=O)NC3=CC=C(C=C3)Cl,Active,45,,,44.56,0.845
49,17413739,5341736,CC1=CC2=C(C=C1)N=C(N2)/C(=C\C3=CC=C(O3)[N+](=O)[O-])/C#N,Active,61,,,60.64,0.621
50,17431710,11979294,CCN\1C2=CC=CC=C2S/C1=C\C3=[N+](C4=C(C=CC(=C4)C)C=C3)CC.[I-],Active,100,,,406.86,0.681
51,17433069,1262361,C1=CC=C(C=C1)C(=O)NCC(=O)NC2=CC=CC(=C2)C(F)(F)F,Active,100,,,1107.21,0.878
52,17433277,801878,C1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2)Cl)C(F)(F)F,Active,43,,,43.48,0.878
53,17433319,2945846,C1COC(C2=CC=CC=C21)CNC(=O)C3=CC=C(C=C3)NC(=O)C4=C(C=C(C=C4)Cl)Cl,Active,95,,,94.59,0.878
54,17433981,1213138,CC1=CC=CC=C1N2C(=O)C3=C(N=C4CCCCC4=C3)N=C2SCC(=O)NC5=CC=CC=C5,Active,46,,,45.64,0.755
55,17503970,135408359,C1CC2=C(C3=CC=CC=C31)N=C(S2)C4=CC5=C(C=C(C=C5)O)OC4=O,Active,100,,,138.36,0.563
56,17504456,1973785,CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC(=CS3)C4=CC=C(C=C4)OC,Active,100,,,632.41,0.809
57,17505714,1334675,C1=CC(=CC(=C1)[N+](=O)[O-])/C=C/C(=O)NC2=CC(=CC=C2)NC(=O)C3=CC=CS3,Active,100,,,207.46,0.793
58,17505722,1945566,CSC1=NSC2=NC(=O)/C(=C/C3=COC4=C(C3=O)C=C(C=C4)O)/C(=N)N21,Active,100,,,238.86,0.793
59,17505942,2007903,CCOC(=O)C1=C(SC2=C1CCN(C2)CC3=CC=CC=C3)NC(=O)CSC4=NC=CC=N4,Active,48,,,48.14,0.898
60,17506129,741762,CCN(CC)C1=CC=C(C=C1)/C=C/2\C(=O)C3=C(C2=O)C=C(C=C3)C(=O)O,Active,88,,,88.16,0.62
61,17506296,5333607,CCN(CC)C1=CC=C(C=C1)/C=C(\C#N)/C(=O)C2=CC=C(C=C2)Br,Active,100,,,181.24,0.604
62,17506519,1563234,CCCOC(=O)C1=CC(=CC=C1)NC(=O)COC2=CC=C(C=C2)[N+](=O)[O-],Active,63,,,63.27,0.623
63,17508313,741765,CCN(CC)C1=CC=C(C=C1)/C=C\2/C(=O)C3=C(C2=O)C=C(C=C3)C(=O)O,Active,100,,,140.33,0.792
64,17509066,3191162,COC(=O)C1=CC=C(C=C1)C(C(=O)NC2CCCCC2)N(CC3=CC=CC=C3)C(=O)CC4=CC=CS4,Active,48,,,48.4,0.854
65,17510314,9627302,COC1=C(C=C(C=C1)/C=N/NC(=O)C2=CC=CC=C2F)CN3CCN(CC3)C4=CC=C(C=C4)F,Active,52,,,52.16,0.855
66,17510327,12005182,CC\1(C2=CC=CC=C2N(/C1=C/C=C/3\C(=O)N(C(=S)S3)CC=C)C)C,Active,61,,,61.02,0.555
67,17510584,619981,CC(C)CSC1=CC(=CC2=C1C(=C(S2)C(=O)OC)N)[N+](=O)[O-],Active,61,,,61.13,0.514
68,17511794,909722,C1=CC=C(C=C1)C2=NC3=NC(=C(N3N=C2)C4=CC=CC=C4)C5=CC=CC=C5,Active,43,,,42.52,0.877
69,17512113,1366257,C1CCN(CC1)C2=CC=C(O2)/C=C(\C#N)/C(=O)NC3=CC(=CC=C3)Br,Active,61,,,60.5,0.875
70,17512364,1867783,C1CCN(CC1)C2=CC=C(O2)/C=C(/C#N)\C(=O)NC3=CC4=CC=CC=C4C=C3,Active,100,,,134.03,0.875
71,17512989,1936517,CCOC(=O)C1=C(SC=C1C2=CC=C(C=C2)C)NC(=O)/C(=C/C3=CC(=C(C=C3)O)OC)/C#N,Active,100,,,116.97,0.829
72,17514053,1987642,CC1=CC(=CC=C1)N2C(=O)/C(=C/C3=CC4=C(C=C3)N(CCC4)CC5=CC=CC=C5)/C(=O)NC2=O,Active,50,,,49.71,0.875
73,17514817,7110093,CCOC(=O)C1=C(C=C(S1)NC2=NC3=CC4=C(C=C3S2)OCO4)C,Active,100,,,195.02,0.878
74,17514833,12005906,COC1=CC=CC(=C1)CNC(=O)C(=O)NCC(C2=CC=CO2)N3CCOCC3,Active,65,,,65.09,0.878
75,17514836,65047,CC(=O)OC1=CC2=C(C=C1)C3(C4=C(O2)C=C(C=C4)OC(=O)C)C5=CC=CC=C5C(=O)O3,Active,100,,,9381.53,0.878
76,22402154,2152241,CC1=CC=CC=C1CN2CCC3=C(C2=O)C=CC=C3OCC(=O)N4CCCC5=CC=CC=C54,Active,47,,,47.42,0.842
77,22402851,2484938,CCCNC(=O)CN1/C(=C/C(=O)C(C)(C)C)/S/C(=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])/C1=O,Active,100,,,129.39,0.443
78,22402935,2116543,CCC1=C(C(=CC=C1)CC)NC(=O)C2=C(C=CC(=C2)CN3C(=O)C4=CC=CC=C4C3=O)OC,Active,57,,,56.86,0.801
79,22403366,878545,CC(=O)OC1=C(NC2=CC=CC=C21)/C=C(\C#N)/C(=O)N,Active,100,,,163.29,0.575
80,22403396,2320400,CN(C)C1=CC(=C(C=C1)P(=O)(NC2=CC=CC(=C2)C(F)(F)F)N3CCOCC3)NC(=O)C4=CC=CS4,Active,51,,,50.74,0.791
81,22403620,2405497,C1=CC=C(C=C1)C2=C(N(N=C2CSC3=NC4=CC=CC=C4N3)C5=CC=C(C=C5)Cl)N,Active,43,,,43.39,0.855
82,22404620,4683236,CC1=CC=C(C=C1)N2C3=CC=CC=C3N=C2SCC(=O)NC4=C(C=C(C=N4)Cl)Cl,Active,57,,,56.86,0.855
83,22405109,4076033,CCCCN(C)C1=CC2=CC(=C(C#N)C#N)CCC2CC1,Active,100,,,234.41,0.76
84,22405113,3614365,C1CCCN(CC1)C2=CC3=CC(=C(C#N)C#N)CCC3CC2,Active,100,,,115.62,0.639
85,22405114,5199378,CCN(CC)C1=CC2=CC(=C(C#N)C#N)CCC2CC1,Active,84,,,83.67,0.83
86,22405246,15945043,C1C(N(N=C1/C=C/C2=CC=C(C=C2)[N+](=O)[O-])C3=CC=CC=C3)C4=CC=CO4,Active,100,,,310.24,0.768
87,22406303,2393485,CC1=CC(=C(N1CC(C)C)C)/C=C(\C#N)/C(=O)O,Active,100,,,277.51,0.878
88,22406563,1527596,CCOC(=O)C1=C(SC=C1C2=CC=CC=C2)NC(=O)/C(=C/C3=CC(=C(C=C3)O)OC)/C#N,Active,66,,,65.75,0.816
89,22407267,4106113,CC1=CC=C(C=C1)N=CC2=C(N(C(=O)C3=CC=CC=C32)C4=NC=CS4)O,Active,41,,,41.28,0.788
90,22407329,2353203,CC1=C(N2C=CC=CC2=C1C(=O)NC3=CC(=CC=C3)Cl)CCC4=CC=NC=C4,Active,66,,,66.19,0.847
91,22407547,15945218,C1=CC=C(C=C1)CCC2C(=O)N(C(=O)N2)CC3=CC=CC4=CC=CC=C43,Active,90,,,89.89,0.788
92,22407717,2449819,C1=CC=C2C(=C1)C=CC=C2CC3=NN=C(N3N)SCC4=CC(=C(C=C4)Cl)Cl,Active,66,,,66.46,0.62
93,22408174,2091218,CCOC(=O)C1=C(SC(=C1C)C(=O)C)NC(=O)CSC2=NC=NC3=CC=CC=C32,Active,42,,,41.72,0.824
94,22409753,3517787,C1CCN(CC1)C2=CC3=CC(=C(C#N)C#N)CCC3CC2,Active,100,,,169.68,0.811
95,22410513,4811229,C1CN(CCN1C2=C(C=C(C=C2)[N+](=O)[O-])S(=O)(=O)N3CCOCC3)C4=CC=CC=C4F,Active,100,,,4141.1,0.878
96,22415019,135401473,CCOC1=CC=C(C=C1)N=C2C(=C(/C(=C/C3=CC(=C(C=C3)OCC(=O)O)OC)/S2)O)C(=O)OCC,Active,50,,,49.66,0.76
97,22416193,2934654,CCCN(CCC)CCOC1=C(C=CC(=C1)C)C(C)C.C(=O)(C(=O)O)O,Active,100,,,137.3,0.555
98,24708014,5461573,CC1=C(C(NC(=O)N1CCCC(=O)O)C2=CC=CS2)C(=O)OC,Active,45,,,44.92,0.565
99,24783885,2867550,CCOC1=CC=C(C=C1)N2C(=O)C3C(N(OC3C2=O)C4=CC=CC=C4)C5=CC=CS5,Active,95,,,95.17,0.856
100,24784883,16188550,[B-](F)(F)(F)F.CCC1=CC2=C(C=C1)OC(=CC2=[NH+]C3=C(N(N(C3=O)C4=CC=CC=C4)C)C)C5=CC=C(C=C5)OC,Active,44,,,44.38,0.895
101,24785653,19580261,CCN1C=C(C(=N1)C)/C=C/2\C(=O)N3C4C(C(N=C3S2)(OC5=CC=CC=C45)C)C(=O)OC,Active,53,,,52.68,0.895
102,24785969,2884333,CC1=C(SC=[N+]1CC2=CC=C(C=C2)[N+](=O)[O-])CCOC(=O)CC34CC5CC(C3)CC(C5)(C4)C.[Br-],Active,54,,,53.83,0.65
103,24786839,1090879,COC1=CC=C(C=C1)OCC(=O)NC2=CC=CC=C2C(=O)N3CCOCC3,Active,60,,,59.63,0.549
104,24788058,984326,CN1C2=CC=CC3=C2C(=C(C1=O)NC4CCCCC4)C5=CC=CC=C5C3=O,Active,48,,,48.33,0.844
105,24791387,135433205,CN(C)C1=CC=C(C=C1)/C=C\2/C(=O)NC(=N2)C3=CC(=C(C=C3)Cl)[N+](=O)[O-],Active,83,,,82.99,0.803
106,24791948,6467346,C1=CC(=CC=C1C(=O)O)NC(=O)NC2=C(C=C(C=C2)F)F,Active,51,,,51.15,0.772
107,24796254,2184268,CN(CCCOC1=CC=CC=C1Br)CC2=CC=CC=C2,Active,56,,,56.11,0.665
108,24797341,2187440,CC1=C(C=CC(=C1)N2CCCC2)/C=C\3/C(=O)N(C(=S)S3)CCOC,Active,67,,,66.57,0.792
109,24797453,6465669,COC1=CC=CC(=C1)NC(=O)NC2=CC=NC=C2,Active,44,,,44.49,0.564
110,24804590,10864994,CCN\1C2=C(C=CC(=C2)C3=CC=CC=C3)O/C1=C\C=C\C4=[N+](C5=C(O4)C=CC(=C5)C6=CC=CC=C6)CC.CCOS(=O)(=O)[O-],Active,100,,,499.86,0.772
111,24807803,5761538,CCCN1C(=O)/C(=C\C=C\2/C(C3=CC=CC=C3N2CC)(C)C)/SC1=S,Active,68,,,68.17,0.85
112,24809035,3662666,COC1=C(C=C(C=C1)C2C3=C(CCCC3=O)NC4=C2C5=C(C=C4)N=CC=C5)OC,Active,63,,,62.95,0.626
113,24812057,25190968,COC1=C(C=C(C=C1)/C=N/NC(=O)C2=CN=CC=C2)CN3CCN(CC3)C4=CC=C(C=C4)F,Active,45,,,44.79,0.736
114,24812431,16193642,CC1=CC=CC=C1N2C(C(C2=O)OC3=CC=C(C=C3)Cl)CNCCC4=CC(=C(C=C4)OC)OC.Cl,Active,53,,,53.07,0.846
115,24812948,16193843,CC(C)CSC1=NSC2=NC(=O)/C(=C\C3=COC4=CC=CC=C4C3=O)/C(=N)N21,Active,100,,,133.63,0.852
116,24813276,16193971,C1CN(N=C1C2=CC=CC=C2)C3=CC=C(C=C3)/C=C/C(=O)C4=CC=CC=C4,Active,75,,,74.99,0.734
117,24815249,9640944,COC1=C(C=C(C=C1)/C=N/NC(=O)C2=CC(=C(C=C2)O)OC)CN3CCN(CC3)C4=CC=C(C=C4)F,Active,45,,,45.38,0.709
118,24820374,5524030,CC1=CC(=CC(=C1)N/C=C/C2=C(C=C(C(=O)O2)NC(=O)C3=CC(=CC=C3)Cl)C(=O)OC)C,Active,100,,,137.8,0.772
119,24821031,5524036,COC(=O)C1=C(OC(=O)C(=C1)NC(=O)C2=CC=CC=C2)/C=C/NC3=CC=C(C=C3)OC4=CC=CC=C4,Active,100,,,126.89,0.799
120,24821124,1489927,CC(C)NC(=O)C1=NN2CCN(C(=O)C2=C1)CC3=CC=C(C=C3)OC,Active,41,,,41.37,0.549
121,24823466,135439750,CC(=O)NC1=CC=C(C=C1)N=CC2=C(C(=CC3=CC=CC=C32)C(=O)NC4=CC=CC=C4)O,Active,70,,,70.19,0.713
122,24826438,4406525,CN1CCN(CC1)C2=CC3=CC(=C(C#N)C#N)CCC3CC2,Active,100,,,301.54,0.856
123,24826744,3596034,CCN1CCN(CC1)C2=CC3=CC(=C(C#N)C#N)CCC3CC2,Active,70,,,69.57,0.902
124,24826867,4285887,COC1=CC(=CC(=C1OC)OC)C(=O)NC(CCSC)C(=O)OCC2=CC(=CC3=C2OCOC3)[N+](=O)[O-],Active,58,,,58.35,0.875
125,24826880,2320415,CCN(CC)P(=O)(C1=C(C=C(C=C1)N(C)C)NC(=O)C2=CC=CO2)NC3=CC=CC(=C3)C(F)(F)F,Active,56,,,55.98,0.584
126,24830031,2110726,COC1=C(C=C(C=C1)CN2C(=O)C3=CC=CC=C3C2=O)C(=O)NC4=CC=CC=C4N5CCOCC5,Active,43,,,43.18,0.774
127,24830438,4208272,C1CC(=CC2=CC(=C(C#N)C#N)CCC21)N3CCOCC3,Active,100,,,169.45,0.852
128,24830974,4962012,CC1=C(N(C(=C1C#N)NC(=O)CCl)CC2=CC=C(C=C2)F)C,Active,45,,,45.24,0.564
129,24832853,5636860,COC1=CC=C(C=C1)C2=NN(C=C2/C=C/C(=O)N3CCN(CC3)C4=CC=CC=N4)C5=CC=CC=C5,Active,48,,,48.01,0.856
130,24837996,2475491,CCC1=NN=C(S1)NC(=O)C2=C(C=CC(=C2)S(=O)(=O)N3CCOCC3)N4CCCCC4,Active,69,,,68.55,0.781
